country,year,income,life_expectancy,population,four_regions,eight_regions,six_regions
Jamaica,1972,7780,69.8,1930000,americas,america_north,america
Japan,1972,16100,73.1,108000000,asia,east_asia_pacific,east_asia_pacific
Jordan,1972,4040,63.5,1880000,asia,asia_west,middle_east_north_africa
Kazakhstan,1972,12200,64.3,13500000,asia,asia_west,europe_central_asia
Kenya,1972,2030,58.7,12100000,africa,africa_sub_saharan,sub_saharan_africa
Kiribati,1972,4160,55.5,52800,asia,east_asia_pacific,east_asia_pacific
Kuwait,1972,61700,70.3,855000,asia,asia_west,middle_east_north_africa
Kyrgyz Republic,1972,3510,60.6,3110000,asia,asia_west,europe_central_asia
Lao,1972,1360,43.1,2840000,asia,east_asia_pacific,east_asia_pacific
Latvia,1972,7920,69.9,2420000,europe,europe_east,europe_central_asia
Lebanon,1972,14400,67.1,2420000,asia,asia_west,middle_east_north_africa
Lesotho,1972,803,56.1,1080000,africa,africa_sub_saharan,sub_saharan_africa
Liberia,1972,2220,48.5,1490000,africa,africa_sub_saharan,sub_saharan_africa
Libya,1972,51400,67.5,2330000,africa,africa_north,middle_east_north_africa
Lithuania,1972,13000,71.4,3200000,europe,europe_east,europe_central_asia
Luxembourg,1972,31800,70.6,345000,europe,europe_west,europe_central_asia
"Macedonia, FYR",1972,7100,68.1,1750000,europe,europe_east,europe_central_asia
Madagascar,1972,2460,51.8,6950000,africa,africa_sub_saharan,sub_saharan_africa
Malawi,1972,748,44.7,4860000,africa,africa_sub_saharan,sub_saharan_africa
Malaysia,1972,4600,65.6,11300000,asia,east_asia_pacific,east_asia_pacific
Maldives,1972,1410,41.3,123000,asia,asia_west,south_asia
Mali,1972,983,40.6,6150000,africa,africa_sub_saharan,sub_saharan_africa
Malta,1972,4980,70.1,320000,europe,europe_west,europe_central_asia
Marshall Islands,1972,2240,61.4,22300,asia,east_asia_pacific,east_asia_pacific
Mauritania,1972,2960,54.8,1220000,africa,africa_sub_saharan,sub_saharan_africa
Mauritius,1972,3350,61.9,852000,africa,africa_sub_saharan,sub_saharan_africa
Mexico,1972,9310,63.4,55500000,americas,america_north,america
"Micronesia, Fed. Sts.",1972,1770,60.2,62300,asia,east_asia_pacific,east_asia_pacific
Moldova,1972,5280,63.1,3700000,europe,europe_east,europe_central_asia
Monaco,1972,28600,NA,24100,europe,europe_west,europe_central_asia
Mongolia,1972,1750,56,1360000,asia,east_asia_pacific,east_asia_pacific
Montenegro,1972,11800,72.8,529000,europe,europe_east,europe_central_asia
Morocco,1972,2500,56.3,16700000,africa,africa_north,middle_east_north_africa
Mozambique,1972,637,48.1,9600000,africa,africa_sub_saharan,sub_saharan_africa
Myanmar,1972,814,50.5,27700000,asia,east_asia_pacific,east_asia_pacific
Namibia,1972,6110,58.7,829000,africa,africa_sub_saharan,sub_saharan_africa
Nauru,1972,49700,NA,6740,asia,east_asia_pacific,east_asia_pacific
Nepal,1972,985,49.6,12500000,asia,asia_west,south_asia
Netherlands,1972,20800,73.9,13300000,europe,europe_west,europe_central_asia
New Zealand,1972,20400,71.8,2930000,asia,east_asia_pacific,east_asia_pacific
Nicaragua,1972,6100,52.2,2550000,americas,america_north,america
Niger,1972,1290,43.7,4770000,africa,africa_sub_saharan,sub_saharan_africa
Nigeria,1972,3940,51,58700000,africa,africa_sub_saharan,sub_saharan_africa
North Korea,1972,1730,68.6,15200000,asia,east_asia_pacific,east_asia_pacific
Norway,1972,24100,74.4,3930000,europe,europe_west,europe_central_asia
Oman,1972,20300,52.8,776000,asia,asia_west,middle_east_north_africa
Pakistan,1972,1730,57.7,61300000,asia,asia_west,south_asia
Palau,1972,29800,NA,11900,asia,east_asia_pacific,east_asia_pacific
Palestine,1972,1460,66.9,1180000,asia,asia_west,middle_east_north_africa
Panama,1972,7080,69.7,1610000,americas,america_north,america
Papua New Guinea,1972,1850,54.5,2660000,asia,east_asia_pacific,east_asia_pacific
Paraguay,1972,3640,69.9,2600000,americas,america_south,america
Peru,1972,6890,59.5,14100000,americas,america_south,america
Philippines,1972,3300,63.3,37900000,asia,east_asia_pacific,east_asia_pacific
Poland,1972,9990,70.6,33100000,europe,europe_west,europe_central_asia
Portugal,1972,11800,68.4,8840000,europe,europe_west,europe_central_asia
Qatar,1972,159000,67.5,131000,asia,asia_west,middle_east_north_africa
Romania,1972,11400,69.2,21000000,europe,europe_east,europe_central_asia
Russia,1972,15900,68.3,132000000,europe,europe_east,europe_central_asia
Rwanda,1972,668,46.9,3980000,africa,africa_sub_saharan,sub_saharan_africa
Samoa,1972,3840,65.2,147000,asia,east_asia_pacific,east_asia_pacific
San Marino,1972,24200,NA,19400,europe,europe_west,europe_central_asia
Sao Tome and Principe,1972,2150,59.9,77500,africa,africa_sub_saharan,sub_saharan_africa
Saudi Arabia,1972,60500,66.2,6390000,asia,asia_west,middle_east_north_africa
Senegal,1972,2030,48.1,4530000,africa,africa_sub_saharan,sub_saharan_africa
Serbia,1972,11700,70.4,8260000,europe,europe_east,europe_central_asia
Seychelles,1972,7710,66.4,55100,africa,africa_sub_saharan,sub_saharan_africa
Sierra Leone,1972,1490,46.4,2800000,africa,africa_sub_saharan,sub_saharan_africa
Singapore,1972,12700,69.2,2150000,asia,east_asia_pacific,east_asia_pacific
Slovak Republic,1972,11800,70.1,4620000,europe,europe_east,europe_central_asia
Slovenia,1972,14300,68.5,1690000,europe,europe_east,europe_central_asia
Solomon Islands,1972,829,55.4,173000,asia,east_asia_pacific,east_asia_pacific
Somalia,1972,1260,50.1,3480000,africa,africa_sub_saharan,sub_saharan_africa
South Africa,1972,10200,57.9,24100000,africa,africa_sub_saharan,sub_saharan_africa
South Korea,1972,2680,62.8,33500000,asia,east_asia_pacific,east_asia_pacific
South Sudan,1972,2200,48.1,3820000,africa,africa_sub_saharan,sub_saharan_africa
Spain,1972,13600,72.5,34800000,europe,europe_west,europe_central_asia
Sri Lanka,1972,2140,64.7,13000000,asia,asia_west,south_asia
St. Kitts and Nevis,1972,4860,NA,44300,americas,america_north,america
St. Lucia,1972,3790,66.2,106000,americas,america_north,america
St. Vincent and the Grenadines,1972,3790,65.5,92500,americas,america_north,america
Sudan,1972,2000,53.4,11000000,africa,africa_sub_saharan,sub_saharan_africa
Suriname,1972,9720,64.9,371000,americas,america_south,america
Swaziland,1972,4660,52.8,472000,africa,africa_sub_saharan,sub_saharan_africa
Sweden,1972,22300,74.8,8130000,europe,europe_west,europe_central_asia
Switzerland,1972,39200,73.6,6270000,europe,europe_west,europe_central_asia
Syria,1972,3320,65.8,6800000,asia,asia_west,middle_east_north_africa
Tajikistan,1972,4760,57.4,3110000,asia,asia_west,europe_central_asia
Tanzania,1972,1470,53.1,14500000,africa,africa_sub_saharan,sub_saharan_africa
Thailand,1972,2480,63.3,39100000,asia,east_asia_pacific,east_asia_pacific
Timor-Leste,1972,736,45.2,638000,asia,east_asia_pacific,east_asia_pacific
Togo,1972,1980,52.8,2250000,africa,africa_sub_saharan,sub_saharan_africa
Tonga,1972,1760,65.8,86300,asia,east_asia_pacific,east_asia_pacific
Trinidad and Tobago,1972,11200,65.7,969000,americas,america_north,america
Tunisia,1972,3800,59.5,5290000,africa,africa_north,middle_east_north_africa
Turkey,1972,7550,58.5,36600000,europe,europe_east,europe_central_asia
Turkmenistan,1972,10200,57.1,2320000,asia,asia_west,europe_central_asia
Tuvalu,1972,1750,NA,7460,asia,east_asia_pacific,east_asia_pacific
Uganda,1972,1090,50.8,9990000,africa,africa_sub_saharan,sub_saharan_africa
Ukraine,1972,7940,69.2,47800000,europe,europe_east,europe_central_asia
United Arab Emirates,1972,38800,66.8,333000,asia,asia_west,middle_east_north_africa
United Kingdom,1972,18000,72,56000000,europe,europe_west,europe_central_asia
United States,1972,25400,71.3,213000000,americas,america_north,america
Uruguay,1972,7560,68.5,2820000,americas,america_south,america
Uzbekistan,1972,3400,64.2,12800000,asia,asia_west,europe_central_asia
Vanuatu,1972,1720,57.5,90800,asia,east_asia_pacific,east_asia_pacific
Venezuela,1972,15600,66.9,12300000,americas,america_south,america
Vietnam,1972,1150,50.6,45500000,asia,east_asia_pacific,east_asia_pacific
Yemen,1972,2190,45.4,6410000,asia,asia_west,middle_east_north_africa
Zambia,1972,3980,56.5,4470000,africa,africa_sub_saharan,sub_saharan_africa
Zimbabwe,1972,2830,58.3,5540000,africa,africa_sub_saharan,sub_saharan_africa
Afghanistan,1973,1150,46,12000000,asia,asia_west,south_asia
Albania,1973,4320,69.2,2310000,europe,europe_east,europe_central_asia
Algeria,1973,7650,58.5,15800000,africa,africa_north,middle_east_north_africa
Andorra,1973,34900,76.9,28200,europe,europe_west,europe_central_asia
Angola,1973,6000,49.4,7280000,africa,africa_sub_saharan,sub_saharan_africa
Antigua and Barbuda,1973,6540,68,70100,americas,america_north,america
Argentina,1973,12500,66.4,25200000,americas,america_south,america
Armenia,1973,3840,67.1,2710000,europe,europe_east,europe_central_asia
Australia,1973,21200,72,13500000,asia,east_asia_pacific,east_asia_pacific
Austria,1973,20700,70.8,7610000,europe,europe_west,europe_central_asia
Azerbaijan,1973,7950,63.2,5480000,europe,europe_east,europe_central_asia
Bahamas,1973,21000,66.3,181000,americas,america_north,america
Bahrain,1973,35800,66.7,240000,asia,asia_west,middle_east_north_africa
Bangladesh,1973,979,52.1,68700000,asia,asia_west,south_asia
Barbados,1973,9440,70.3,243000,americas,america_north,america
Belarus,1973,6080,71.3,9190000,europe,europe_east,europe_central_asia
Belgium,1973,21600,71.6,9720000,europe,europe_west,europe_central_asia
Belize,1973,2910,67.5,129000,americas,america_north,america
Benin,1973,1320,48.7,3110000,africa,africa_sub_saharan,sub_saharan_africa
Bhutan,1973,1010,50.4,328000,asia,asia_west,south_asia
Bolivia,1973,3960,52.1,4800000,americas,america_south,america
Bosnia and Herzegovina,1973,2680,67.5,3900000,europe,europe_east,europe_central_asia
Botswana,1973,2730,58.3,769000,africa,africa_sub_saharan,sub_saharan_africa
Brazil,1973,7910,62.7,103000000,americas,america_south,america
Brunei,1973,93400,68.1,149000,asia,east_asia_pacific,east_asia_pacific
Bulgaria,1973,8800,71.2,8660000,europe,europe_east,europe_central_asia
Burkina Faso,1973,774,45.3,5930000,africa,africa_sub_saharan,sub_saharan_africa
Burundi,1973,828,45.1,3580000,africa,africa_sub_saharan,sub_saharan_africa
Cambodia,1973,1170,45.2,7450000,asia,east_asia_pacific,east_asia_pacific
Cameroon,1973,2280,52.8,7060000,africa,africa_sub_saharan,sub_saharan_africa
Canada,1973,22900,73.2,22500000,americas,america_north,america
Cape Verde,1973,803,59.9,273000,africa,africa_sub_saharan,sub_saharan_africa
Central African Republic,1973,1240,48.4,1940000,africa,africa_sub_saharan,sub_saharan_africa
Chad,1973,1130,50.7,3910000,africa,africa_sub_saharan,sub_saharan_africa
Chile,1973,7000,64.5,10100000,americas,america_south,america
China,1973,898,62.6,885000000,asia,east_asia_pacific,east_asia_pacific
Colombia,1973,4850,65.3,23700000,americas,america_south,america
Comoros,1973,1530,52.2,244000,africa,africa_sub_saharan,sub_saharan_africa
"Congo, Dem. Rep.",1973,2270,51.1,21700000,africa,africa_sub_saharan,sub_saharan_africa
"Congo, Rep.",1973,4010,50,1500000,africa,africa_sub_saharan,sub_saharan_africa
Costa Rica,1973,6910,70.6,2000000,americas,america_north,america
Cote d'Ivoire,1973,3990,52.6,6010000,africa,africa_sub_saharan,sub_saharan_africa
Croatia,1973,13700,68.8,4470000,europe,europe_east,europe_central_asia
Cuba,1973,10700,73,9180000,americas,america_north,america
Cyprus,1973,10200,70.9,635000,europe,europe_west,europe_central_asia
Czech Republic,1973,16500,70.1,9950000,europe,europe_east,europe_central_asia
Denmark,1973,24600,73.8,5020000,europe,europe_west,europe_central_asia
Djibouti,1973,4660,60.6,191000,africa,africa_north,middle_east_north_africa
Dominica,1973,3310,69.2,71700,americas,america_north,america
Dominican Republic,1973,4170,66.3,4890000,americas,america_north,america
Ecuador,1973,6540,64.3,6610000,americas,america_south,america
Egypt,1973,3050,53,37500000,africa,africa_north,middle_east_north_africa
El Salvador,1973,5180,60.7,3960000,americas,america_north,america
Equatorial Guinea,1973,936,45.1,281000,africa,africa_sub_saharan,sub_saharan_africa
Eritrea,1973,1120,46.4,1970000,africa,africa_sub_saharan,sub_saharan_africa
Estonia,1973,11300,70.4,1400000,europe,europe_east,europe_central_asia
Ethiopia,1973,798,43.5,31000000,africa,africa_sub_saharan,sub_saharan_africa
Fiji,1973,5430,64,554000,asia,east_asia_pacific,east_asia_pacific
Finland,1973,19000,71.2,4680000,europe,europe_east,europe_central_asia
France,1973,20500,73,52200000,europe,europe_west,europe_central_asia
Gabon,1973,8400,53.6,625000,africa,africa_sub_saharan,sub_saharan_africa
Gambia,1973,1680,56.1,490000,africa,africa_sub_saharan,sub_saharan_africa
Georgia,1973,5720,65.9,4820000,europe,europe_east,europe_central_asia
Germany,1973,23400,71.1,78900000,europe,europe_west,europe_central_asia
Ghana,1973,2460,56.2,9350000,africa,africa_sub_saharan,sub_saharan_africa
Greece,1973,15100,74.2,8840000,europe,europe_west,europe_central_asia
Grenada,1973,3270,68.5,93600,americas,america_north,america
Guatemala,1973,5080,54.3,6100000,americas,america_north,america
Guinea,1973,1000,45.6,4320000,africa,africa_sub_saharan,sub_saharan_africa
Guinea-Bissau,1973,1780,41.7,756000,africa,africa_sub_saharan,sub_saharan_africa
Guyana,1973,3510,61.4,730000,americas,america_south,america
Haiti,1973,2210,47.1,4960000,americas,america_north,america
Honduras,1973,2780,57.3,2970000,americas,america_north,america
Hungary,1973,14500,69.5,10500000,europe,europe_east,europe_central_asia
Iceland,1973,18600,74.5,213000,europe,europe_west,europe_central_asia
India,1973,1140,50.5,593000000,asia,asia_west,south_asia
Indonesia,1973,2670,55.4,124000000,asia,east_asia_pacific,east_asia_pacific
Iran,1973,14500,61.5,30900000,asia,asia_west,middle_east_north_africa
Iraq,1973,8830,61.9,11000000,asia,asia_west,middle_east_north_africa
Ireland,1973,12700,71.3,3080000,europe,europe_west,europe_central_asia
Israel,1973,14600,66.6,3140000,asia,asia_west,middle_east_north_africa
Italy,1973,18600,72.2,54700000,europe,europe_west,europe_central_asia
Jamaica,1973,8310,70.3,1970000,americas,america_north,america
Japan,1973,17100,73.4,110000000,asia,east_asia_pacific,east_asia_pacific
Jordan,1973,4090,64,1950000,asia,asia_west,middle_east_north_africa
Kazakhstan,1973,13200,64.5,13700000,asia,asia_west,europe_central_asia
Kenya,1973,2060,59.1,12500000,africa,africa_sub_saharan,sub_saharan_africa
Kiribati,1973,4960,56,53600,asia,east_asia_pacific,east_asia_pacific
Kuwait,1973,58700,69.9,909000,asia,asia_west,middle_east_north_africa
Kyrgyz Republic,1973,3580,61.1,3170000,asia,asia_west,europe_central_asia
Lao,1973,1370,43.5,2920000,asia,east_asia_pacific,east_asia_pacific
Latvia,1973,8500,69.8,2440000,europe,europe_east,europe_central_asia
Lebanon,1973,14800,67.3,2480000,asia,asia_west,middle_east_north_africa
Lesotho,1973,992,56.5,1100000,africa,africa_sub_saharan,sub_saharan_africa
Liberia,1973,2240,49,1540000,africa,africa_sub_saharan,sub_saharan_africa
Libya,1973,49500,68.1,2430000,africa,africa_north,middle_east_north_africa
Lithuania,1973,13900,71.5,3240000,europe,europe_east,europe_central_asia
Luxembourg,1973,34100,70.8,348000,europe,europe_west,europe_central_asia
"Macedonia, FYR",1973,7280,68.4,1770000,europe,europe_east,europe_central_asia
Madagascar,1973,2340,52.4,7140000,africa,africa_sub_saharan,sub_saharan_africa
Malawi,1973,791,45.3,5000000,africa,africa_sub_saharan,sub_saharan_africa
Malaysia,1973,5150,66.1,11600000,asia,east_asia_pacific,east_asia_pacific
Maldives,1973,1400,42.3,128000,asia,asia_west,south_asia
Mali,1973,940,40.9,6260000,africa,africa_sub_saharan,sub_saharan_africa
Malta,1973,5460,70.4,321000,europe,europe_west,europe_central_asia
Marshall Islands,1973,2290,61.9,23400,asia,east_asia_pacific,east_asia_pacific
Mauritania,1973,2750,55,1250000,africa,africa_sub_saharan,sub_saharan_africa
Mauritius,1973,3730,62.3,865000,africa,africa_sub_saharan,sub_saharan_africa
Mexico,1973,9760,63.6,57300000,americas,america_north,america
"Micronesia, Fed. Sts.",1973,2380,60.4,62300,asia,east_asia_pacific,east_asia_pacific
Moldova,1973,5670,63.4,3750000,europe,europe_east,europe_central_asia
Monaco,1973,30300,NA,24400,europe,europe_west,europe_central_asia
Mongolia,1973,1850,56.7,1400000,asia,east_asia_pacific,east_asia_pacific
Montenegro,1973,12200,73,538000,europe,europe_east,europe_central_asia
Morocco,1973,2540,56.8,17000000,africa,africa_north,middle_east_north_africa
Mozambique,1973,653,48.4,9830000,africa,africa_sub_saharan,sub_saharan_africa
Myanmar,1973,785,51.2,28300000,asia,east_asia_pacific,east_asia_pacific
Namibia,1973,6140,58.8,855000,africa,africa_sub_saharan,sub_saharan_africa
Nauru,1973,50100,NA,6860,asia,east_asia_pacific,east_asia_pacific
Nepal,1973,957,49.9,12800000,asia,asia_west,south_asia
Netherlands,1973,21800,74.2,13400000,europe,europe_west,europe_central_asia
New Zealand,1973,21400,71.9,2990000,asia,east_asia_pacific,east_asia_pacific
Nicaragua,1973,6220,62.5,2630000,americas,america_north,america
Niger,1973,1050,43.5,4900000,africa,africa_sub_saharan,sub_saharan_africa
Nigeria,1973,4050,51.5,60100000,africa,africa_sub_saharan,sub_saharan_africa
North Korea,1973,1750,69.1,15600000,asia,east_asia_pacific,east_asia_pacific
Norway,1973,25100,74.5,3960000,europe,europe_west,europe_central_asia
Oman,1973,16900,53.8,807000,asia,asia_west,middle_east_north_africa
Pakistan,1973,1810,58.1,63100000,asia,asia_west,south_asia
Palau,1973,35700,NA,12000,asia,east_asia_pacific,east_asia_pacific
Palestine,1973,1320,40.7,1230000,asia,asia_west,middle_east_north_africa
Panama,1973,7330,70.4,1650000,americas,america_north,america
Papua New Guinea,1973,1930,54.7,2730000,asia,east_asia_pacific,east_asia_pacific
Paraguay,1973,3810,70.1,2660000,americas,america_south,america
Peru,1973,7050,60.3,14400000,americas,america_south,america
Philippines,1973,3490,63.5,39000000,asia,east_asia_pacific,east_asia_pacific
Poland,1973,10700,70.7,33400000,europe,europe_west,europe_central_asia
Portugal,1973,13100,68.7,8960000,europe,europe_west,europe_central_asia
Qatar,1973,161000,67.5,142000,asia,asia_west,middle_east_north_africa
Romania,1973,11700,69.4,21200000,europe,europe_east,europe_central_asia
Russia,1973,17100,68.4,132000000,europe,europe_east,europe_central_asia
Rwanda,1973,669,47.1,4100000,africa,africa_sub_saharan,sub_saharan_africa
Samoa,1973,3880,65.1,149000,asia,east_asia_pacific,east_asia_pacific
San Marino,1973,25900,NA,19500,europe,europe_west,europe_central_asia
Sao Tome and Principe,1973,2140,60.5,79000,africa,africa_sub_saharan,sub_saharan_africa
Saudi Arabia,1973,65100,67,6710000,asia,asia_west,middle_east_north_africa
Senegal,1973,1870,48.5,4660000,africa,africa_sub_saharan,sub_saharan_africa
Serbia,1973,12000,70.8,8340000,europe,europe_east,europe_central_asia
Seychelles,1973,8250,67,56600,africa,africa_sub_saharan,sub_saharan_africa
Sierra Leone,1973,1500,46.7,2860000,africa,africa_sub_saharan,sub_saharan_africa
Singapore,1973,13900,69.5,2190000,asia,east_asia_pacific,east_asia_pacific
Slovak Republic,1973,12200,70.1,4660000,europe,europe_east,europe_central_asia
Slovenia,1973,14700,68.8,1710000,europe,europe_east,europe_central_asia
Solomon Islands,1973,892,55.7,179000,asia,east_asia_pacific,east_asia_pacific
Somalia,1973,1090,50.2,3510000,africa,africa_sub_saharan,sub_saharan_africa
South Africa,1973,10400,58.2,24800000,africa,africa_sub_saharan,sub_saharan_africa
South Korea,1973,3230,63.3,34200000,asia,east_asia_pacific,east_asia_pacific
South Sudan,1973,1960,49.8,3920000,africa,africa_sub_saharan,sub_saharan_africa
Spain,1973,14700,72.7,35200000,europe,europe_west,europe_central_asia
Sri Lanka,1973,2190,64.7,13300000,asia,asia_west,south_asia
St. Kitts and Nevis,1973,5050,NA,44300,americas,america_north,america
St. Lucia,1973,3820,66.4,107000,americas,america_north,america
St. Vincent and the Grenadines,1973,3330,65.9,93500,americas,america_north,america
Sudan,1973,1780,53.4,11300000,africa,africa_sub_saharan,sub_saharan_africa
Suriname,1973,10200,65,368000,americas,america_south,america
Swaziland,1973,4790,53.5,487000,africa,africa_sub_saharan,sub_saharan_africa
Sweden,1973,23300,74.9,8150000,europe,europe_west,europe_central_asia
Switzerland,1973,40200,74,6310000,europe,europe_west,europe_central_asia
Syria,1973,2930,65.3,7040000,asia,asia_west,middle_east_north_africa
Tajikistan,1973,5110,57.8,3200000,asia,asia_west,europe_central_asia
Tanzania,1973,1470,53.5,15000000,africa,africa_sub_saharan,sub_saharan_africa
Thailand,1973,2660,63.8,40200000,asia,east_asia_pacific,east_asia_pacific
Timor-Leste,1973,738,45.9,654000,asia,east_asia_pacific,east_asia_pacific
Togo,1973,1850,53.2,2300000,africa,africa_sub_saharan,sub_saharan_africa
Tonga,1973,1780,65.8,87000,asia,east_asia_pacific,east_asia_pacific
Trinidad and Tobago,1973,11300,66,983000,americas,america_north,america
Tunisia,1973,3700,60.3,5410000,africa,africa_north,middle_east_north_africa
Turkey,1973,7830,59,37500000,europe,europe_east,europe_central_asia
Turkmenistan,1973,10900,57.6,2390000,asia,asia_west,europe_central_asia
Tuvalu,1973,2310,NA,7540,asia,east_asia_pacific,east_asia_pacific
Uganda,1973,1060,51,10300000,africa,africa_sub_saharan,sub_saharan_africa
Ukraine,1973,8520,69.4,48100000,europe,europe_east,europe_central_asia
United Arab Emirates,1973,59400,67.3,397000,asia,asia_west,middle_east_north_africa
United Kingdom,1973,19200,72.2,56100000,europe,europe_west,europe_central_asia
United States,1973,26600,71.6,215000000,americas,america_north,america
Uruguay,1973,7610,68.5,2820000,americas,america_south,america
Uzbekistan,1973,3650,64.6,13200000,asia,asia_west,europe_central_asia
Vanuatu,1973,1740,57.8,93800,asia,east_asia_pacific,east_asia_pacific
Venezuela,1973,16300,67,12600000,americas,america_south,america
Vietnam,1973,1200,54.6,46600000,asia,east_asia_pacific,east_asia_pacific
Yemen,1973,2410,46.6,6520000,asia,asia_west,middle_east_north_africa
Zambia,1973,3770,57,4630000,africa,africa_sub_saharan,sub_saharan_africa
Zimbabwe,1973,2820,58.5,5730000,africa,africa_sub_saharan,sub_saharan_africa
Afghanistan,1974,1180,46.1,12300000,asia,asia_west,south_asia
Albania,1974,4320,69.8,2360000,europe,europe_east,europe_central_asia
Algeria,1974,7890,59.1,16200000,africa,africa_north,middle_east_north_africa
Andorra,1974,35300,77.2,29500,europe,europe_west,europe_central_asia
Angola,1974,6060,49.6,7470000,africa,africa_sub_saharan,sub_saharan_africa
Antigua and Barbuda,1974,6650,68.3,70900,americas,america_north,america
Argentina,1974,13000,66.8,25600000,americas,america_south,america
Armenia,1974,3880,67.6,2770000,europe,europe_east,europe_central_asia
Australia,1974,21400,72.2,13700000,asia,east_asia_pacific,east_asia_pacific
Austria,1974,21500,71,7630000,europe,europe_west,europe_central_asia
Azerbaijan,1974,8080,63.8,5580000,europe,europe_east,europe_central_asia
Bahamas,1974,17100,66.7,185000,americas,america_north,america
Bahrain,1974,36600,67.3,252000,asia,asia_west,middle_east_north_africa
Bangladesh,1974,1080,51.5,69900000,asia,asia_west,south_asia
Barbados,1974,10700,70.6,245000,americas,america_north,america
Belarus,1974,6260,71.4,9250000,europe,europe_east,europe_central_asia
Belgium,1974,22500,71.8,9750000,europe,europe_west,europe_central_asia
Belize,1974,3260,67.9,131000,americas,america_north,america
Benin,1974,1190,49.2,3190000,africa,africa_sub_saharan,sub_saharan_africa
Bhutan,1974,1020,50.9,339000,asia,asia_west,south_asia
Bolivia,1974,4070,52.7,4900000,americas,america_south,america
Bosnia and Herzegovina,1974,2960,67.8,3940000,europe,europe_east,europe_central_asia
Botswana,1974,3160,58.9,796000,africa,africa_sub_saharan,sub_saharan_africa
Brazil,1974,8370,63.2,105000000,americas,america_south,america
Brunei,1974,100000,69,155000,asia,east_asia_pacific,east_asia_pacific
Bulgaria,1974,9010,71.2,8700000,europe,europe_east,europe_central_asia
Burkina Faso,1974,747,45.7,6040000,africa,africa_sub_saharan,sub_saharan_africa
Burundi,1974,810,45.2,3620000,africa,africa_sub_saharan,sub_saharan_africa
Cambodia,1974,1110,45.2,7530000,asia,east_asia_pacific,east_asia_pacific
Cameroon,1974,2330,53.2,7250000,africa,africa_sub_saharan,sub_saharan_africa
Canada,1974,23500,73.4,22800000,americas,america_north,america
Cape Verde,1974,772,61,272000,africa,africa_sub_saharan,sub_saharan_africa
Central African Republic,1974,1180,48.4,1980000,africa,africa_sub_saharan,sub_saharan_africa
Chad,1974,1260,50.9,4000000,africa,africa_sub_saharan,sub_saharan_africa
Chile,1974,6950,66.3,10300000,americas,america_south,america
China,1974,892,63,904000000,asia,east_asia_pacific,east_asia_pacific
Colombia,1974,5050,65.6,24200000,americas,america_south,america
Comoros,1974,1530,52.6,250000,africa,africa_sub_saharan,sub_saharan_africa
"Congo, Dem. Rep.",1974,2340,51.5,22300000,africa,africa_sub_saharan,sub_saharan_africa
"Congo, Rep.",1974,3860,50.5,1540000,africa,africa_sub_saharan,sub_saharan_africa
Costa Rica,1974,7100,71.2,2050000,americas,america_north,america
Cote d'Ivoire,1974,3980,53.1,6310000,africa,africa_sub_saharan,sub_saharan_africa
Croatia,1974,15400,69,4480000,europe,europe_east,europe_central_asia
Cuba,1974,11100,73.3,9320000,americas,america_north,america
Cyprus,1974,10000,51.4,642000,europe,europe_west,europe_central_asia
Czech Republic,1974,16900,70.3,10000000,europe,europe_east,europe_central_asia
Denmark,1974,24300,74,5040000,europe,europe_west,europe_central_asia
Djibouti,1974,4440,60.7,205000,africa,africa_north,middle_east_north_africa
Dominica,1974,3490,69.8,71800,americas,america_north,america
Dominican Republic,1974,4300,66.8,5020000,americas,america_north,america
Ecuador,1974,6710,64.8,6800000,americas,america_south,america
Egypt,1974,3060,54,38300000,africa,africa_north,middle_east_north_africa
El Salvador,1974,5380,61.3,4050000,americas,america_north,america
Equatorial Guinea,1974,991,45.5,269000,africa,africa_sub_saharan,sub_saharan_africa
Eritrea,1974,1090,46.8,2020000,africa,africa_sub_saharan,sub_saharan_africa
Estonia,1974,11600,70.4,1410000,europe,europe_east,europe_central_asia
Ethiopia,1974,779,43.5,31900000,africa,africa_sub_saharan,sub_saharan_africa
Fiji,1974,5460,64.3,565000,asia,east_asia_pacific,east_asia_pacific
Finland,1974,19400,71.4,4700000,europe,europe_east,europe_central_asia
France,1974,21000,73.2,52600000,europe,europe_west,europe_central_asia
Gabon,1974,18400,54.4,637000,africa,africa_sub_saharan,sub_saharan_africa
Gambia,1974,1960,56.5,506000,africa,africa_sub_saharan,sub_saharan_africa
Georgia,1974,6190,66.4,4850000,europe,europe_east,europe_central_asia
Germany,1974,23600,71.3,78900000,europe,europe_west,europe_central_asia
Ghana,1974,2560,56.5,9600000,africa,africa_sub_saharan,sub_saharan_africa
Greece,1974,14600,74.4,8910000,europe,europe_west,europe_central_asia
Grenada,1974,3500,69,93200,americas,america_north,america
Guatemala,1974,5290,55.1,6270000,americas,america_north,america
Guinea,1974,1050,45.9,4350000,africa,africa_sub_saharan,sub_saharan_africa
Guinea-Bissau,1974,1830,44.6,769000,africa,africa_sub_saharan,sub_saharan_africa
Guyana,1974,3760,61.5,738000,americas,america_south,america
Haiti,1974,2330,47.8,5050000,americas,america_north,america
Honduras,1974,3070,54.5,3060000,americas,america_north,america
Hungary,1974,14900,69.3,10500000,europe,europe_east,europe_central_asia
Iceland,1974,19400,74.7,216000,europe,europe_west,europe_central_asia
India,1974,1130,51,607000000,asia,asia_west,south_asia
